###########
# Mechs A #
###########

chassis "Hammerhands" "mechs/Hammerhands.gif"

chassis "Ha Otoko" "mechs/Ha Otoko.gif"
exact "Ha Otoko 2" "mechs/Ha Otoko 2.gif"

chassis "Harvester Ant" "mechs/Harvester Ant.gif"

chassis "Hatamoto-Chi" "mechs/Hatamoto-Chi.gif"

chassis "Hatamoto-Hi" "mechs/Hatamoto-Hi.gif"

chassis "Hatamoto-Kaeru" "mechs/Hatamoto-Kaeru.gif"

chassis "Hatamoto-Kaze" "mechs/Hatamoto-Kaze.gif"

chassis "Hatamoto-Ku" "mechs/Hatamoto-Ku.gif"

chassis "Hatamoto-Mizo" "mechs/Hatamoto-Mizo.gif"

chassis "Hatchetman"       "mechs/Hatchetman.gif"
exact "Hatchetman HCT-3NH" "mechs/Hatchetman HCT-3NH.gif"
exact "Hatchetman HCT-5K"  "mechs/Hatchetman HCT-5K.gif"

chassis "Hauptmann"      "mechs/Hauptmann.gif"
exact "Hauptmann HA1-O"  "mechs/Hauptmann HA1-O.gif"
exact "Hauptmann HA1-OA" "mechs/Hauptmann HA1-OA.gif"
exact "Hauptmann HA1-OB" "mechs/Hauptmann HA1-OB.gif"
exact "Hauptmann HA1-OC" "mechs/Hauptmann HA1-OC.gif"
exact "Hauptmann HA1-OD" "mechs/Hauptmann HA1-OD.gif"
exact "Hauptmann HA1-OE" "mechs/Hauptmann HA1-OE.gif"

chassis "Havoc" "mechs/Havoc.gif"

chassis "Hector" "mechs/Hector.gif"

chassis "Helepolis" "mechs/Helepolis.gif"

chassis "Helios"      "mechs/Helios.gif"
exact "Helios HEL-6X" "mechs/Helios HEL-6X.gif"

chassis "Hellbringer" "mechs/Hellbringer.gif"
exact "Hellbringer A" "mechs/Hellbringer A.gif"
exact "Hellbringer B" "mechs/Hellbringer B.gif"
exact "Hellbringer C" "mechs/Hellbringer C.gif"
exact "Hellbringer D" "mechs/Hellbringer D.gif"
exact "Hellbringer E" "mechs/Hellbringer E.gif"
exact "Hellbringer H" "mechs/Hellbringer H.gif"

chassis "Hellfire" "mechs/Hellfire.gif"

chassis "Hellion" "mechs/Hellion.gif"
exact "Hellion A" "mechs/Hellion A.gif"
exact "Hellion B" "mechs/Hellion B.gif"
exact "Hellion C" "mechs/Hellion C.gif"

chassis "Hellspawn" "mechs/Hellspawn.gif"

chassis "Hellstar" "mechs/Hellstar.gif

chassis "Hercules" "mechs/Hercules.gif"

chassis "Hermes" "mechs/Hermes.gif"

chassis "Hermes II"      "mechs/Hermes II.gif"
exact "Hermes II HER-2M" "mechs/Hermes II HER-2M.gif"

chassis "Hermes III" "mechs/Hermes III.gif"

chassis "Highlander" "mechs/Highlander.gif"

chassis "Highlander IIC" "mechs/Highlander IIC.gif"

chassis "Hitman" "mechs/Hitman.gif"

chassis "Hollander" "mechs/Hollander.gif"

chassis "Hollander II"      "mechs/Hollander II.gif"
exact "Hollander II BZK-F7" "mechs/Hollander II BZK-F7.gif"

chassis "Hoplite"      "mechs/Hoplite.gif"
exact "Hoplite HOP-4X" "mechs/Hoplite HOP-4X.gif"

chassis "Hoplite C" "mechs/Hoplite C.gif"

chassis "Horned Owl" "mechs/Horned Owl.gif"
exact "Horned Owl 4" "mechs/Horned Owl 4.gif"
exact "Horned Owl 5" "mechs/Horned Owl 5.gif"

chassis "Hornet" "mechs/Hornet.gif"

chassis "Hunchback"               "mechs/Hunchback.gif"
exact "Hunchback HBK-4G (Blazer)" "mechs/Hunchback HBK-4G (Blazer).gif"
exact "Hunchback HBK-4H"          "mechs/Hunchback HBK-4H.gif"
exact "Hunchback HBK-4J"          "mechs/Hunchback HBK-4J.gif"
exact "Hunchback HBK-4N"          "mechs/Hunchback HBK-4N.gif"
exact "Hunchback HBK-4P"          "mechs/Hunchback HBK-4P.gif"
exact "Hunchback HBK-4SP"         "mechs/Hunchback HBK-4SP.gif"
exact "Hunchback HBK-5SG"         "mechs/Hunchback HBK-5SG.gif"

chassis "Hunchback IIC" "mechs/Hunchback IIC.gif"

chassis "Huntsman (Nobori-nin)"     "mechs/Huntsman (Nobori-nin).gif"
exact "Huntsman (Nobori-nin) Prime" "mechs/Huntsman (Nobori-nin) Prime.gif"
exact "Huntsman (Nobori-nin) A"     "mechs/Huntsman (Nobori-nin) A.gif"
exact "Huntsman (Nobori-nin) B"     "mechs/Huntsman (Nobori-nin) B.gif"
exact "Huntsman (Nobori-nin) C"     "mechs/Huntsman (Nobori-nin) C.gif"
exact "Huntsman (Nobori-nin) D"     "mechs/Huntsman (Nobori-nin) D.gif"

chassis "Huron Warrior"          "mechs/Huron Warrior.gif"
exact "Huron Warrior HUR-W0-R4N" "mechs/Huron Warrior HUR-W0-R4N.gif"

chassis "Hussar" "mechs/Hussar.gif"


###########
# Mechs I #
###########

chassis "Icarus" "mechs/Icarus.gif"

chassis "Icarus II" "mechs/Icarus II.gif"

chassis "Ice Ferret" "mechs/Ice Ferret.gif"
exact "Ice Ferret A" "mechs/Ice Ferret A.gif"
exact "Ice Ferret B" "mechs/Ice Ferret B.gif"
exact "Ice Ferret C" "mechs/Ice Ferret C.gif"
exact "Ice Ferret D" "mechs/Ice Ferret D.gif"
exact "Ice Ferret E" "mechs/Ice Ferret E.gif"
exact "Ice Ferret H" "mechs/Ice Ferret H.gif"
exact "Ice Ferret L" "mechs/Ice Ferret L.gif"

chassis "Icestorm" "mechs/Icestorm.gif"
exact "Icestorm 2" "mechs/Icestorm 2.gif"

chassis "Imp" "mechs/Imp.gif"

chassis "Imp C" "mechs/Imp C.gif"

chassis "Incubus" "mechs/Incubus.gif"
exact "Incubus 4" "mechs/Incubus 4.gif"
exact "Incubus 5" "mechs/Incubus 5.gif"

chassis "Initiate"      "mechs/Initiate.gif"
exact "Initiate INI-04" "mechs/Initiate INI-04.gif"

chassis "Isengard" "mechs/Isengard.gif"


###########
# Mechs J #
###########

chassis "Jackal" "mechs/Jackal.gif"

chassis "Jackrabbit"      "mechs/Jackrabbit.gif"
exact "Jackrabbit JKR-9W" "mechs/Jackrabbit JKR-9W.gif"

chassis "JagerMech IIC" "mechs/JagerMech IIC.gif"

chassis "JagerMech III" "mechs/JagerMech III.gif"

chassis "JagerMech"     "mechs/JagerMech.gif"
exact "Jagermech JM6-A" "mechs/Jagermech JM6-A.gif"
exact "Jagermech JM7-F" "mechs/Jagermech JM7-F.gif"

chassis "Javelin"       "mechs/Javelin.gif"
exact "Javelin JVN-10F" "mechs/Javelin JVN-10F.gif"

chassis "Jenner IIC"  "mechs/Jenner IIC.gif"
exact "Jenner IIC 2"  "mechs/Jenner IIC 2.gif"
exact "Jenner IIC 3"  "mechs/Jenner IIC 3.gif"
exact "Jenner IIC 4"  "mechs/Jenner IIC 4.gif"
exact "Jenner JR7-C"  "mechs/Jenner JR7-C.gif"
exact "Jenner JR7-C2" "mechs/Jenner JR7-C2.gif"
exact "Jenner JR7-C3" "mechs/Jenner JR7-C3.gif"

chassis "Jenner"     "mechs/Jenner.gif"
exact "Jenner JR7-F" "mechs/Jenner JR7-F.gif"

chassis "Jinggau" "mechs/Jinggau.gif"
exact "Jinggau JN-G7L" "mechs/Jinggau JN-G7L.gif"
exact "Jinggau JN-G9CC" "mechs/Jinggau JN-G9CC.gif"

chassis "Juggernaut" "mechs/Juggernaut.gif"

chassis "Jupiter" "mechs/Jupiter.gif"
exact "Jupiter 2" "mechs/Jupiter 2.gif"


###########
# Mechs K #
###########

chassis "Kabuto" "mechs/Kabuto.gif"

chassis "Karhu" "mechs/Karhu.gif"

chassis "Katana" "mechs/Katana.gif"

chassis "King Crab" "mechs/King Crab.gif"

chassis "Kingfisher" "mechs/Kingfisher.gif"
exact "Kingfisher A" "mechs/Kingfisher A.gif"
exact "Kingfisher B" "mechs/Kingfisher B.gif"
exact "Kingfisher C" "mechs/Kingfisher C.gif"
exact "Kingfisher D" "mechs/Kingfisher D.gif"
exact "Kingfisher E" "mechs/Kingfisher E.gif"
exact "Kingfisher H" "mechs/Kingfisher H.gif"

chassis "Kintaro"       "mechs/Kintaro.gif"
exact "Kintaro KTO-19b" "mechs/Kintaro KTO-19b.gif"

chassis "Kit Fox" "mechs/Kit Fox.gif"
exact "Kit Fox A" "mechs/Kit Fox A.gif"
exact "Kit Fox B" "mechs/Kit Fox B.gif"
exact "Kit Fox C" "mechs/Kit Fox C.gif"
exact "Kit Fox D" "mechs/Kit Fox D.gif"
exact "Kit Fox E" "mechs/Kit Fox E.gif"
exact "Kit Fox F" "mechs/Kit Fox F.gif"
exact "Kit Fox H" "mechs/Kit Fox H.gif"
exact "Kit Fox S" "mechs/Kit Fox S.gif"
exact "Kit Fox W" "mechs/Kit Fox W.gif"

chassis "Kodiak" "mechs/Kodiak.gif"

chassis "Komodo" "mechs/Komodo.gif"

chassis "Koschei"      "mechs/Koschei.gif"
exact "Koschei KSC-5L" "mechs/Koschei KSC-5L.gif"
exact "Koschei KSC-3I" "mechs/Koschei KSC-3I.gif"
exact "Koschei KSC-3L" "mechs/Koschei KSC-3L.gif"
exact "Koschei KSC-4I" "mechs/Koschei KSC-4I.gif"
exact "Koschei KSC-4L" "mechs/Koschei KSC-4L.gif"

chassis "Koshi" "mechs/Koshi.gif"

chassis "Koto" "mechs/Koto.gif"

chassis "Kyudo" "mechs/Kyudo.gif"


###########
# Mechs L #
###########

chassis "Lancelot"        "mechs/Lancelot.gif"
exact "Lancelot LNC25-04" "mechs/Lancelot LNC25-04.gif"
exact "Lancelot LNC25-06" "mechs/Lancelot LNC25-06.gif"

chassis "Lao Hu" "mechs/Lao Hu.gif"

chassis "Legacy"      "mechs/Legacy.gif"
exact "Legacy LGC-02" "mechs/Legacy LGC-02.gif"
exact "Legacy LGC-03" "mechs/Legacy LGC-03.gif"

chassis "Legend Killer" "mechs/Legend Killer.gif"

chassis "Legionnaire" "mechs/Legionnaire.gif"

chassis "Lightray" "mechs/Lightray.gif"

chassis "Linebacker" "mechs/Linebacker.gif"
exact "Linebacker A" "mechs/Linebacker A.gif"
exact "Linebacker B" "mechs/Linebacker B.gif"
exact "Linebacker C" "mechs/Linebacker C.gif"
exact "Linebacker D" "mechs/Linebacker D.gif"
exact "Linebacker E" "mechs/Linebacker E.gif"

chassis "Lineholder" "mechs/Lineholder.gif"

chassis "Lobo" "mechs/Lobo.gif"

chassis "Locust IIC" "mechs/Locust IIC.gif"
exact "Locust IIC 2" "mechs/Locust IIC 2.gif"
exact "Locust IIC 3" "mechs/Locust IIC 3.gif"
exact "Locust IIC 4" "mechs/Locust IIC 4.gif"
exact "Locust IIC 5" "mechs/Locust IIC 5.gif"

chassis "Locust"      "mechs/Locust.gif"
exact "Locust LCT-1E" "mechs/Locust LCT-1E.gif"
exact "Locust LCT-1M" "mechs/Locust LCT-1M.gif"
exact "Locust LCT-1S" "mechs/Locust LCT-1S.gif"
exact "Locust LCT-3V" "mechs/Locust LCT-3V.gif"

chassis "Longbow"          "mechs/Longbow.gif"
exact "Longbow LGB-7V"     "mechs/Longbow LGB-7V.gif"
exact "Longbow LGB-13NAIS" "mechs/Longbow LGB-13NAIS.gif"

chassis "Longshot" "mechs/Longshot.gif"

chassis "Lynx" "mechs/Lynx.gif"


###########
# Mechs M #
###########

chassis "Mackie jr."    "mechs/Mackie jr..gif"
chassis "Mackie"        "mechs/Mackie.gif"
exact "Mackie MSK-7B"   "mechs/Mackie MSK-7B.gif"
exact "Mackie MSK-7C"   "mechs/Mackie MSK-7C.gif"
exact "Mackie MSK-7P"   "mechs/Mackie MSK-7P.gif"
exact "Mackie MSK-7PJ"  "mechs/Mackie MSK-7PJ.gif"
exact "Mackie MSK-7SL"  "mechs/Mackie MSK-7SL.gif"
exact "Mackie MSK-7SUB" "mechs/Mackie MSK-7SUB.gif"
exact "Mackie MSK-9H"   "mechs/Mackie MSK-9H.gif"

chassis "Mad Dog" "mechs/Mad Dog.gif"
exact "Mad Dog A" "mechs/Mad Dog A.gif"
exact "Mad Dog B" "mechs/Mad Dog B.gif"
exact "Mad Dog C" "mechs/Mad Dog C.gif"
exact "Mad Dog D" "mechs/Mad Dog D.gif"
exact "Mad Dog E" "mechs/Mad Dog E.gif"
exact "Mad Dog F" "mechs/Mad Dog F.gif"
exact "Mad Dog H" "mechs/Mad Dog H.gif"

chassis "Maelstrom" "mechs/Maelstrom.gif"

chassis "Malak"                 "mechs/Malak.gif"
exact "Malak C-MK-OA Dominus"   "mechs/Malak C-MK-OA Dominus.gif"
exact "Malak C-MK-OC Commminus" "mechs/Malak C-MK-OC Commminus.gif"
exact "Malak C-MK-OD Luminos"   "mechs/Malak C-MK-OD Luminos.gif"
exact "Malak C-MK-OB Infernus"  "mechs/Malak C-MK-OB Infernus.gif"
exact "Malak C-MK-OE Eminus"    "mechs/Malak C-MK-OE Eminus.gif"

chassis "Mandrill" "mechs/Mandrill.gif"

chassis "Mangonel" "mechs/Mangonel.gif"

chassis "Mantis" "mechs/Mantis.gif"

chassis "Marauder II"      "mechs/Marauder II.gif"
exact "Marauder II C"      "mechs/Marauder II C.gif"
exact "Marauder II MAD-4H" "mechs/Marauder II MAD-4H.gif"
exact "Marauder II MAD-4S" "mechs/Marauder II MAD-4S.gif"

chassis "Marauder IIC" "mechs/Marauder IIC.gif"
exact "Marauder IIC 2" "mechs/Marauder IIC 2.gif"
exact "Marauder IIC 3" "mechs/Marauder IIC 3.gif"
exact "Marauder IIC 4" "mechs/Marauder IIC 4.gif"
exact "Marauder IIC 5" "mechs/Marauder IIC 5.gif"
exact "Marauder IIC 6" "mechs/Marauder IIC 6.gif"
exact "Marauder IIC 7" "mechs/Marauder IIC 7.gif"

chassis "Marauder"        "mechs/Marauder.gif"
exact "Marauder MAD-3D"   "mechs/Marauder MAD-3D.gif"
exact "Marauder MAD-3L"   "mechs/Marauder MAD-3L.gif"
exact "Marauder MAD-3M"   "mechs/Marauder MAD-3M.gif"
exact "Marauder MAD-3RWR" "mechs/Marauder MAD-3RWR.gif"
exact "Marauder MAD-5L"   "mechs/Marauder MAD-5L.gif"
exact "Marauder MAD-5R"   "mechs/Marauder MAD-5R.gif"
exact "Marauder MAD-5T"   "mechs/Marauder MAD-5T.gif"
exact "Marauder MAD-7D"   "mechs/Marauder MAD-7D.gif"
exact "Marauder MAD-9S"   "mechs/Marauder MAD-9S.gif"
exact "Marauder MAD-9M"   "mechs/Marauder MAD-9M.gif"


chassis "Marco" "mechs/Marco.gif"

chassis "Marshal" "mechs/Marshal.gif"

chassis "Matador" "mechs/Matador.gif"
exact "Matador 2" "mechs/Matador 2.gif"

chassis "Mauler" "mechs/Mauler.gif"

chassis "Men Shen"      "mechs/Men Shen.gif"
exact "Men Shen MS1-OA" "mechs/Men Shen MS1-OA.gif"
exact "Men Shen MS1-OB" "mechs/Men Shen MS1-OB.gif"
exact "Men Shen MS1-OC" "mechs/Men Shen MS1-OC.gif"
exact "Men Shen MS1-OD" "mechs/Men Shen MS1-OD.gif"
exact "Men Shen MS1-OE" "mechs/Men Shen MS1-OE.gif"
exact "Men Shen MS1-OF" "mechs/Men Shen MS1-OF.gif"

chassis "Mercury" "mechs/Mercury.gif"

chassis "Mercury II" "mechs/Mercury II.gif"

chassis "Merlin" "mechs/Merlin.gif"

chassis "Mjolnir" "mechs/Mjolnir.gif"

chassis "Mongoose"       "mechs/Mongoose.gif"
exact "Mongoose MON-66b" "mechs/Mongoose MON-66b.gif"
exact "Mongoose MON-69"  "mechs/Mongoose MON-69.gif"

chassis "Mongoose II" "mechs/Mongoose II.gif"

chassis "Mongrel (Grendel)" "mechs/Mongrel (Grendel).gif"
exact "Mongrel (Grendel) A" "mechs/Mongrel (Grendel) A.gif"
exact "Mongrel (Grendel) B" "mechs/Mongrel (Grendel) B.gif"
exact "Mongrel (Grendel) C" "mechs/Mongrel (Grendel) C.gif"
exact "Mongrel (Grendel) D" "mechs/Mongrel (Grendel) D.gif"
exact "Mongrel (Grendel) E" "mechs/Mongrel (Grendel) E.gif"
exact "Mongrel (Grendel) H" "mechs/Mongrel (Grendel) H.gif"

chassis "Morpheus" "mechs/Morpheus.gif"


###########
# Mechs N #
###########

chassis "Naga" "mechs/Naga.gif"

chassis "Naginata" "mechs/Naginata.gif"

chassis "Nexus" "mechs/Nexus.gif"

chassis "Nexus II" "mechs/Nexus II.gif"

chassis "Night Gyr" "mechs/Night Gyr.gif"
exact "Night Gyr A" "mechs/Night Gyr A.gif"
exact "Night Gyr B" "mechs/Night Gyr B.gif"
exact "Night Gyr C" "mechs/Night Gyr C.gif"
exact "Night Gyr D" "mechs/Night Gyr D.gif"
exact "Night Gyr E" "mechs/Night Gyr E.gif"
exact "Night Gyr H" "mechs/Night Gyr H.gif"

chassis "Night Hawk" "mechs/Night Hawk.gif"

chassis "Nightsky" "mechs/Nightsky.gif"

chassis "Nightstar" "mechs/Nightstar.gif"

chassis "Ninja-To" "mechs/Ninja-To.gif"

chassis "No-Dachi" "mechs/No-Dachi.gif"

chassis "Nova 2" "mechs/Nova 2.gif"
exact "Nova A" "mechs/Nova A.gif"
exact "Nova B" "mechs/Nova B.gif"
exact "Nova C" "mechs/Nova C.gif"
exact "Nova D" "mechs/Nova D.gif"
exact "Nova E" "mechs/Nova E.gif"
exact "Nova F" "mechs/Nova F.gif"
exact "Nova H" "mechs/Nova H.gif"

chassis "Nova Cat" "mechs/Nova Cat.gif"
exact "Nova Cat A" "mechs/Nova Cat A.gif"
exact "Nova Cat B" "mechs/Nova Cat B.gif"
exact "Nova Cat C" "mechs/Nova Cat C.gif"
exact "Nova Cat D" "mechs/Nova Cat D.gif"
exact "Nova Cat E" "mechs/Nova Cat E.gif"
exact "Nova Cat F" "mechs/Nova Cat F.gif"
exact "Nova Cat G" "mechs/Nova Cat G.gif"

chassis "Nyx" "mechs/Nyx.gif"


###########
# Mechs O #
###########

chassis "O-Bakemono" "mechs/O-Bakemono.gif"

chassis "Ocelot" "mechs/Ocelot.gif"

chassis "Omen" "mechs/Omen.gif"

chassis "Onslaught" "mechs/Onslaught.gif"

chassis "Orion IIC" "mechs/Orion IIC.gif"

chassis "Orion"              "mechs/Orion.gif"
exact "Orion ON1-V"          "mechs/Orion ON1-V.gif"
exact "Orion ON1-VA"         "mechs/Orion ON1-VA.gif"
exact "Orion ON1-K"          "mechs/Orion ON1-K.gif"
exact "Orion ON1-K Kerensky" "mechs/Orion ON1-K Kerensky.gif"

chassis "Osiris" "mechs/Osiris.gif"

chassis "Osprey" "mechs/Osprey.gif"

chassis "Ostroc" "mechs/Ostroc.gif"
exact "Ostroc OSR-2L" "mechs/Ostroc OSR-2L.gif"
exact "Ostroc OSR-2M" "mechs/Ostroc OSR-2M.gif"
exact "Ostroc OSR-3C" "mechs/Ostroc OSR-3C.gif"

chassis "Ostscout" "mechs/Ostscout.gif"

chassis "Ostsol"      "mechs/Ostsol.gif"
exact "Ostsol OTL-4F" "mechs/Ostsol OTL-4F.gif"

chassis "Ostwar" "mechs/Ostwar.gif"

chassis "Owens"     "mechs/Owens.gif"
exact "Owens OW-1A" "mechs/Owens OW-1A.gif"
exact "Owens OW-1B" "mechs/Owens OW-1B.gif"
exact "Owens OW-1C" "mechs/Owens OW-1C.gif"
exact "Owens OW-1D" "mechs/Owens OW-1D.gif"
exact "Owens OW-1E" "mechs/Owens OW-1E.gif"


###########
# Mechs P #
###########

chassis "Pack Hunter" "mechs/Pack Hunter.gif"

chassis "Pack Hunter II" "mechs/Pack Hunter II.gif"

chassis "Paladin" "mechs/Paladin.gif"

chassis "Panther"        "mechs/Panther.gif"
exact "Panther PNT-10K2" "mechs/Panther PNT-10K2.gif"
exact "Panther PNT-12K"  "mechs/Panther PNT-12K.gif"
exact "Panther PNT-16K"  "mechs/Panther PNT-16K.gif"

chassis "Pariah" "mechs/Pariah.gif"
exact "Pariah A" "mechs/Pariah A.gif"
exact "Pariah B" "mechs/Pariah B.gif"
exact "Pariah C" "mechs/Pariah C.gif"
exact "Pariah D" "mechs/Pariah D.gif"

chassis "Patriot"      "mechs/Patriot.gif"
exact "Patriot PLM-2D" "mechs/Patriot PLM-2D.gif"
exact "Patriot PLM-2E" "mechs/Patriot PLM-2E.gif"

chassis "Pendragon" "mechs/Pendragon.gif"

chassis "Penetrator" "mechs/Penetrator.gif"

chassis "Perseus" "mechs/Perseus.gif"
exact "Perseus P1A" "mechs/Perseus P1A.gif"
exact "Perseus P1B" "mechs/Perseus P1B.gif"
exact "Perseus P1C" "mechs/Perseus P1C.gif"
exact "Perseus P1D" "mechs/Perseus P1D.gif"

chassis "Phantom" "mechs/Phantom.gif"
exact "Phantom A" "mechs/Phantom A.gif"
exact "Phantom B" "mechs/Phantom B.gif"
exact "Phantom C" "mechs/Phantom C.gif"
exact "Phantom D" "mechs/Phantom D.gif"
exact "Phantom E" "mechs/Phantom E.gif"
exact "Phantom H" "mechs/Phantom H.gif"

chassis "Phoenix" "mechs/Phoenix.gif"

chassis "Phoenix Hawk IIC" "mechs/Phoenix Hawk IIC.gif"
exact "Phoenix Hawk IIC 2" "mechs/Phoenix Hawk IIC 2.gif"
exact "Phoenix Hawk IIC 3" "mechs/Phoenix Hawk IIC 3.gif"
exact "Phoenix Hawk IIC 4" "mechs/Phoenix Hawk IIC 4.gif"
exact "Phoenix Hawk IIC 5" "mechs/Phoenix Hawk IIC 5.gif"
exact "Phoenix Hawk IIC 6" "mechs/Phoenix Hawk IIC 6.gif"

chassis "Phoenix Hawk LAM" "mechs/Phoenix Hawk LAM.gif"

chassis "Phoenix Hawk"              "mechs/Phoenix Hawk.gif"
exact "Phoenix Hawk PXH-1 (Blazer)" "mechs/Phoenix Hawk PXH-1 (Blazer).gif"
exact "Phoenix Hawk PXH-1K"         "mechs/Phoenix Hawk PXH-1K.gif"
exact "Phoenix Hawk PXH-3D"         "mechs/Phoenix Hawk PXH-3D.gif"
exact "Phoenix Hawk PXH-3K"         "mechs/Phoenix Hawk PXH-3K.gif"
exact "Phoenix Hawk PXH-3M"         "mechs/Phoenix Hawk PXH-3M.gif"
exact "Phoenix Hawk PXH-3S"         "mechs/Phoenix Hawk PXH-3S.gif"

chassis "Pillager" "mechs/Pillager.gif"

chassis "Pillager Anvil" "mechs/Pillager.gif"

chassis "Pinion" "mechs/Pinion.gif"

chassis "Piranha" "mechs/Piranha.gif"

chassis "Porcupine" "mechs/Porcupine.gif"

chassis "Pouncer" "mechs/Pouncer.gif"
exact "Pouncer A" "mechs/Pouncer A.gif"
exact "Pouncer B" "mechs/Pouncer B.gif"
exact "Pouncer C" "mechs/Pouncer C.gif"
exact "Pouncer D" "mechs/Pouncer D.gif"
exact "Pouncer E" "mechs/Pouncer E.gif"
exact "Pouncer H" "mechs/Pouncer H.gif"

chassis "Powerman LoaderMech" "mechs/Powerman LoaderMech.gif"

chassis "Predator" "mechs/Predator.gif"
exact "Predator 2" "mechs/Predator 2.gif"

chassis "Preta" "mechs/Preta.gif"
exact "Preta C-PRT-OA Dominus" "mechs/Preta C-PRT-OA Dominus.gif"
exact "Preta C-PRT-OB Infernus" "mechs/Preta C-PRT-OB Infernus.gif"
exact "Preta C-PRT-OC Comminus" "mechs/Preta C-PRT-OC Comminus.gif"
exact "Preta C-PRT-OD Luminos" "mechs/Preta C-PRT-OD Luminos.gif"
exact "Preta C-PRT-OE Eminus" "mechs/Preta C-PRT-OE Eminus.gif"

chassis "Prowler" "mechs/Prowler.gif"


###########
# Mechs Q #
###########

chassis "Quasit" "mechs/Quasit.gif"

chassis "Quasit MilitiaMech"       "mechs/Quasit MilitiaMech.gif"
exact "Quasit MilitiaMech QUA-51M" "mechs/Quasit MilitiaMech QUA-51M.gif"
exact "Quasit MilitiaMech QUA-51T" "mechs/Quasit MilitiaMech QUA-51T.gif"
exact "Quasit MilitiaMech QUA-51L" "mechs/Quasit MilitiaMech QUA-51L.gif"

chassis "Quickdraw IIC" "mechs/Quickdraw IIC.gif"

chassis "Quickdraw"      "mechs/Quickdraw.gif"
exact "Quickdraw QKD-5A" "mechs/Quickdraw QKD-5A.gif"
exact "Quickdraw QKD-4H" "mechs/Quickdraw QKD-4H.gif"


###########
# Mechs R #
###########

chassis "Rabid Coyote" "mechs/Rabid Coyote.gif"

chassis "Raijin" "mechs/Raijin.gif"

chassis "Raijin II" "mechs/Raijin II.gif"

chassis "Rakshasa"      "mechs/Rakshasa.gif"
exact "Rakshasa MDG-2A" "mechs/Rakshasa MDG-2A.gif"

chassis "Rampage" "mechs/Rampage.gif"

chassis "Raptor II" "mechs/Raptor II.gif"

chassis "Raptor"       "mechs/Raptor.gif"
exact "Raptor RTX1-OA" "mechs/Raptor RTX1-OA.gif"
exact "Raptor RTX1-OB" "mechs/Raptor RTX1-OB.gif"
exact "Raptor RTX1-OC" "mechs/Raptor RTX1-OC.gif"
exact "Raptor RTX1-OD" "mechs/Raptor RTX1-OD.gif"
exact "Raptor RTX1-OE" "mechs/Raptor RTX1-OE.gif"
exact "Raptor RTX1-OF" "mechs/Raptor RTX1-OF.gif"

chassis "Raven"      "mechs/Raven.gif"
exact "Raven RVN-1X" "mechs/Raven RVN-1X.gif"
exact "Raven RVN-2X" "mechs/Raven RVN-2X.gif"
exact "Raven RVN-3L" "mechs/Raven RVN-3L.gif"
exact "Raven RVN-3X" "mechs/Raven RVN-3X.gif"
exact "Raven RVN-4X" "mechs/Raven RVN-4X.gif"

chassis "Raven X" "mechs/Raven X.gif"

chassis "Razorback"      "mechs/Razorback.gif"
exact "Razorback RZK-9T" "mechs/Razorback RZK-9T.gif"

chassis "Red Shift" "mechs/Red Shift.gif"

chassis "Rifleman IIC" "mechs/Rifleman IIC.gif"
exact "Rifleman IIC 3" "mechs/Rifleman IIC 3.gif"
exact "Rifleman IIC 4" "mechs/Rifleman IIC 4.gif"
exact "Rifleman IIC 5" "mechs/Rifleman IIC 5.gif"
exact "Rifleman IIC 6" "mechs/Rifleman IIC 6.gif"

chassis "Rifleman" "mechs/Rifleman.gif"
exact "Rifleman RFL-3C" "mechs/Rifleman RFL-3C.gif"
exact "Rifleman RFL-3N-2" "mechs/Rifleman RFL-3N-2.gif"
exact "Rifleman RFL-6X" "mechs/Rifleman RFL-6X.gif"
exact "Rifleman RFL-7M" "mechs/Rifleman RFL-7M.gif"
exact "Rifleman RFL-8D" "mechs/Rifleman RFL-8D.gif"

chassis "Rifleman II" "mechs/Rifleman II.gif"
exact "Rifleman IIA" "mechs/Rifleman IIA.gif"
exact "Rifleman IIB" "mechs/Rifleman IIB.gif"

chassis "Ronin" "mechs/Ronin.gif"

chassis "Rook" "mechs/Rook.gif"

chassis "Ryoken II" "mechs/Ryoken II.gif"

chassis "Ryoken (Stormcrow)" "mechs/Ryoken (Stormcrow).gif"
exact "Ryoken (Stormcrow) A" "mechs/Ryoken (Stormcrow) A.gif"
exact "Ryoken (Stormcrow) B" "mechs/Ryoken (Stormcrow) B.gif"
exact "Ryoken (Stormcrow) C" "mechs/Ryoken (Stormcrow) C.gif"
exact "Ryoken (Stormcrow) D" "mechs/Ryoken (Stormcrow) D.gif"
exact "Ryoken (Stormcrow) E" "mechs/Ryoken (Stormcrow) E.gif"
exact "Ryoken (Stormcrow) H" "mechs/Ryoken (Stormcrow) H.gif"


###########
# Mechs S #
###########

chassis "Sagittaire" "mechs/Sagittaire.gif"

#Battlearmor with identical Name exists... => matching via exact
#chassis "Salamander" "mechs/Salamander.gif"
exact "Salamander PPR-5S" "mechs/Salamander.gif"
